"Number","Reported Date/Time","Occurred From Date/Time","Location","Description","Disposition"
"2024-00009899","06/14/2024 02:32","06/14/2024 02:32","1001 Dorner Dr, Urbana","CURFEW MINORS","Administratively Closed"
"2024-00009902","06/14/2024 06:07","06/14/2024 01:14","1501 S Oak St, Champaign","BURGLARY-FROM MOTOR VEHICLE","Pending Investigation"
"2024-00009902","06/14/2024 06:07","06/14/2024 01:14","1501 S Oak St, Champaign","TRESPASSING-VEHICLE","Pending Investigation"
"2024-00009902","06/14/2024 06:07","06/14/2024 01:14","1501 S Oak St, Champaign","CRIMINAL DAMAGE GOVT SUPPORTED PROPERTY","Pending Investigation"
"2024-00009906","06/14/2024 10:47","06/13/2024 18:30","201 E Armory Av, Champaign","BURGLARY-FROM MOTOR VEHICLE","Administratively Closed"
"2024-00009910","06/14/2024 12:05","06/13/2024 17:00","205 E Green St, Champaign","CRIMINAL DAMAGE TO PROPERTY","Administratively Closed"
"2024-00009916","06/14/2024 15:57","06/14/2024 14:30","W Green St, Urbana","THEFT >$500","Administratively Closed"
"2024-00009952","06/15/2024 15:06","06/15/2024 15:06","407 E Green St, Champaign","RETAIL THEFT","Cleared by Arrest"
"2024-00009985","06/16/2024 12:02","06/14/2024 15:00","107 E Springfield Av, Champaign","MOTOR VEHICLE THEFT","Administratively Closed"
"2024-00010005","06/17/2024 01:56","06/17/2024 01:53","303 S Dunlap Av, Savoy","DUI-ALCOHOL","Cleared by Arrest"
"2024-00010005","06/17/2024 01:56","06/17/2024 01:53","303 S Dunlap Av, Savoy","DUI - ALCOHOL - BREATH OR BLOOD CONCENTRATION .08 OR MORE","Cleared by Arrest"
"2024-00010011","06/17/2024 10:57","06/17/2024 10:57","104 S Wright St, Urbana","CRIMINAL TRESPASS-STATE SUPPORTED LAND","Cleared by Arrest"
"2024-00010019","06/17/2024 15:22","06/17/2024 15:10","2201 S First St, Champaign","DISORDERLY CONDUCT-ALL OTHER","Administratively Closed"
"2024-00010022","06/17/2024 17:08","05/17/2024 12:00","505 E Healey St, Champaign","THEFT-<$500","Administratively Closed"
"2024-00010048","06/18/2024 14:17","06/17/2024 16:00","1107 S Fourth St, Champaign","THEFT-<$500","Administratively Closed"
"2024-00010048","06/18/2024 14:17","06/17/2024 16:00","1107 S Fourth St, Champaign","CRIMINAL DAMAGE TO PROPERTY","Administratively Closed"
"2024-00010053","06/18/2024 17:06","06/17/2024 23:25","1008 S Fourth St, Champaign","STOLEN PROPERTY-POSSESSION OF","Cleared by Arrest"
"2024-00010053","06/18/2024 17:06","06/17/2024 23:25","1008 S Fourth St, Champaign","BURGLARY-FROM MOTOR VEHICLE","Cleared by Arrest"
"2024-00010053","06/18/2024 17:06","06/17/2024 23:25","1008 S Fourth St, Champaign","DRUG PARAPHERNALIA- POSSESSION OF -ORDINANCE","Cleared by Arrest"
"2024-00010053","06/18/2024 17:06","06/17/2024 23:25","1008 S Fourth St, Champaign","BURGLARY-BUILDING","Cleared by Arrest"
"2024-00010053","06/18/2024 17:06","06/17/2024 23:25","1008 S Fourth St, Champaign","IDENTITY THEFT","Cleared by Arrest"
"2024-00010098","06/19/2024 23:59","06/19/2024 23:59","S First St, Champaign","DUI-ALCOHOL","Cleared by Arrest"
"2024-00010107","06/20/2024 10:34","06/18/2024 21:00","701 S Gregory St, Urbana","CRIMINAL DAMAGE TO PROPERTY","Administratively Closed"
"2024-00010107","06/20/2024 10:34","06/18/2024 21:00","701 S Gregory St, Urbana","THEFT-<$500","Administratively Closed"
