"Number","Reported Date/Time","Occurred From Date/Time","Location","Description","Disposition"
"2024-00006988","04/22/2024 16:19","03/31/2024 16:21","51 E John St, Champaign","THEFT-<$500","Administratively Closed"
"2024-00006998","04/22/2024 18:02","04/22/2024 18:02","1401 W Green St, Urbana","DISORDERLY CONDUCT-ALL OTHER","Administratively Closed"
"2024-00007034","04/23/2024 04:17","04/23/2024 04:00","1804 S Neil St, Champaign","BURGLARY-BUILDING","Cleared by Arrest, Juvenile"
"2024-00007034","04/23/2024 04:17","04/23/2024 04:00","1804 S Neil St, Champaign","CRIMINAL DAMAGE TO PROPERTY","Cleared by Arrest, Juvenile"
"2024-00007045","04/23/2024 09:34","04/22/2024 16:00","1301 Springfield Av, Urbana","MOTOR VEHICLE THEFT","Cleared by Arrest, Juvenile"
"2024-00007045","04/23/2024 09:34","04/22/2024 16:00","1301 Springfield Av, Urbana","CRIMINAL DAMAGE TO PROPERTY","Cleared by Arrest, Juvenile"
"2024-00007045","04/23/2024 09:34","04/22/2024 16:00","1301 Springfield Av, Urbana","CRIMINAL TRESPASS-STATE SUPPORTED LAND","Cleared by Arrest, Juvenile"
"2024-00007047","04/23/2024 11:54","04/22/2024 16:00","102 Gregory Dr, Champaign","IDENTITY THEFT","Cleared by Arrest"
"2024-00007047","04/23/2024 11:54","04/22/2024 16:00","102 Gregory Dr, Champaign","FRAUD-WIRE","Cleared by Arrest"
"2024-00007047","04/23/2024 11:54","04/22/2024 16:00","102 Gregory Dr, Champaign","BURGLARY-FROM MOTOR VEHICLE","Cleared by Arrest"
"2024-00007047","04/23/2024 11:54","04/22/2024 16:00","102 Gregory Dr, Champaign","STOLEN PROPERTY-POSSESSION OF","Cleared by Arrest"
"2024-00007050","04/23/2024 15:46","04/14/2024 14:00","29 E Green St, Champaign","FRAUD-WIRE","Administratively Closed"
"2024-00007097","04/24/2024 12:21","04/18/2024 10:00","1110 W Green St, Urbana","DECEPTIVE PRACTICES - GENERAL","Administratively Closed"
"2024-00007097","04/24/2024 12:21","04/18/2024 10:00","1110 W Green St, Urbana","THEFT-LOST/MISLAID PROPERTY","Administratively Closed"
"2024-00007104","04/24/2024 14:44","04/24/2024 13:40","E Green St, Champaign","AGGRAVATED BATTERY-BASED ON LOCATION MINOR/NO INJURY","Cleared by Arrest"
"2024-00007104","04/24/2024 14:44","04/24/2024 13:40","E Green St, Champaign","CRIMINAL DAMAGE TO PROPERTY","Cleared by Arrest"
